\fixlen = T
\primary    = 0
\RowsRetrieved =                444  
\QueryTime     =   00:00:00.29276              
\ 
\ 
\ 
\ The following lines define the label and column names correspondance.
\ ---------------------------------------------------------------------
\ 
\ Source          = uniqueid and defname 
\ Spectral Type                                      = Spectral_Type   =  defsp +- defspe + defsplim
\ Calculated Luminosity                              = L_solar         =  deflum +- deflume + deflumlim
\ Metallicity [Fe/H]                                 = Fe_H            =  defmetfe +- defmetfee + defmetfelim
\ Calculated Effective Temperatures                  = Teff_theory     =  defcteff +- defcteffe + defctefflim
\ Mass                                               = Mass            =  defmass +- defmasse + defmasslim
\ Longitude (RA or Galactic or ecliptic, in degrees) = RA              =  ra
\ Latitude (Declination or Galactic or ecliptic, in degrees) = Dec             =  dec
\ Distance or Parallax                               = Distance        =  defdist +- defdiste + defplxlim
\ PM in right ascension                              = PMra            =  defpmra +- defpmrae + defpmralim
\ PM in declination                                  = PMDec           =  defpmdec +- defpmdece + defpmdeclim
\ B (Johnson)                                        = B_Johnson       =  defbj +- defbje + defbjlim
\ V (Johnson)                                        = V_Johnson       =  defvj +- defvje + defvjlim
\ K-short (2MASS)                                    = Ks_2MASS        =  defk +- defke + defklim
\ Include systems with known planets                 = Planets         =  defnplanet
\ Habitable zone inner radius                        = HZ_inner        =  defhzinarad
\ Habitable zone outer radius                        = HZ_outer        =  defhzoutarad
\ Predicted Earth-like transit depth                 = Transit_Depth_Earth =  defertdpv
\ Predicted radial velocity wobble from Earth        = RV_Wobble_Earth =  defertrvelw
\ Predicted astrometric wobble from Earth            = Ast_Wobble_Earth =  defertposw
\ Predicted Jupiter-like transit depth               = Transit_Depth_Jovian =  defjupdpv
\ Predicted radial velocity wobble from Jupiter      = RV_Wobble_Jovian =  defjuprvelw
\ Predicted astrometric wobble from Jupiter          = Ast_Wobble_Jovian =  defjupposw
\ Amateur Light Curve                                = Amateur_LightCurve =  defnaxa
\
\ 
\ 
\ 
\ column name                    description
\ -----------         ----------------------------
\ uniqueid  : Unique StARS identification number
\ defname   : Default name
\ ra        : Default RA (J2000)
\ dec       : Default Declination (J2000)
\ defplxlim : Default parallax limit flag
\ defdist   : Default distance in parsecs
\ defdiste  : Default distance error
\ defpmra   : Default proper motion in ra
\ defpmrae  : Default error in proper motion in ra
\ defpmralim: Default ra proper motion limit flag
\ defpmdec  : Default proper motion in dec
\ defpmdece : Default error in proper motion in dec
\ defpmdeclim: Default dec proper motion limit flag
\ defbj     : Default B-band magnitude
\ defbje    : Default B-band magnitude error
\ defbjlim  : Default B-band magnitude limit flag
\ defvj     : Default V-band magnitude
\ defvje    : Default V-band magnitude error
\ defvjlim  : Default V-band magnitude limit flag
\ defk      : Default K-band (2Mass) magnitude
\ defke     : Default K-band (2Mass) magnitude error
\ defklim   : Default K-band (2Mass) magnitude limit flag
\ defsp     : Default spectral type string
\ defspe    : Default spectral type error string
\ defsplim  : Default spectral type limit flag
\ defcteff  : Default Computed Teff
\ defcteffe : Default Computed Teff error
\ defctefflim: Default Computed Teff limit flag
\ deflum    : Default Computed Luminosity
\ deflume   : Default Computed Luminosity error
\ deflumlim : Default Computed Luminosity limit flag
\ defmetfe  : Default Metallicity [Fe/H]
\ defmetfee : Default Metallicity [Fe/H] error
\ defmetfelim: Default Metallicity [Fe/H] limit flag
\ defmass   : Default Mass
\ defmasse  : Default Mass error
\ defmasslim: Default Mass limit flag
\ defnplanet: Number of known planets
